,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations,geometry
429,3,1254,Interstate Shooting,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 90.8",2020-11-17,12:35:50 PM,43.05,0,0,0.033333333,Urban,410,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 90.8          ,90.8,36.26398904,-86.73776493,Level 1,Level 1,Level 1,54.4,0.0,Clear,nashville tennessee,2020-11-17,55.1,38.2,48.4,55.1,36.1,46.1,24.2,39.18,0.0,0.0,0.0,0.0,23.6,14.9,254.5,1031.1,2.2,9.9,2020-11-17T06:26:34,2020-11-17T16:37:30,0.04,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.73776493 36.26398904)
973,3,2035,Interstate Shooting,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 49.6",2020-11-24,3:15:35 AM,297,4,84,0,Urban,1004,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 49.6          ,49.6,36.11876182,-86.72626351,Level 3,Level 2,Level 2,35.6,0.0,Clear,nashville tennessee,2020-11-24,63.5,33.7,49.6,63.5,33.7,49.6,36.4,63.9,0.0,0.0,0.0,0.0,22.7,15.3,118.8,1022.4,50.5,9.4,2020-11-24T06:33:34,2020-11-24T16:34:11,0.36,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.72626351 36.11876182)
1738,3,3009,Interstate Shooting,"DAVIDSON on Interstate 440 Westbound, Before MILE MARKER 1.8",2020-12-03,8:59:31 PM,319,3,52,0,Urban,1841,DAVIDSON,I-440W,I-440,Westbound,Before,MILE MARKER 1.8          ,1.8,36.13358729,-86.81920336,Level 3,Level 2,Level 2,46.8,0.01,Rain,nashville tennessee,2020-12-03,55.1,27.8,41.1,55.1,26.3,40.6,29.5,67.62,0.12,16.67,0.0,0.0,20.8,7.7,96.1,1024.7,77.8,9.5,2020-12-03T06:42:00,2020-12-03T16:32:15,0.55,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.81920336 36.13358729)
3066,3,4811,Interstate Shooting,"DAVIDSON on Interstate 40 Westbound, Beyond MILE MARKER 204.6",2020-12-19,5:50:39 PM,10,0,0,0,Urban,3315,DAVIDSON,I-40W,I-40,Westbound,Beyond,MILE MARKER 204.6          ,204.6,36.15372835,-86.84608484,Level 1,Level 1,Level 1,47.4,0.0,Clear,nashville tennessee,2020-12-19,50.6,29.3,40.5,50.6,27.0,38.8,31.2,71.1,0.26,25.0,0.0,0.0,19.7,13.2,143.7,1023.6,81.5,9.3,2020-12-19T06:53:42,2020-12-19T16:35:26,0.13,Rain,Partly cloudy throughout the day with late afternoon rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.84608484 36.15372835)
11782,3,15962,Interstate Shooting,"DAVIDSON on Interstate 65 Southbound, Before MILE MARKER 97.4",2021-03-27,12:49:36 AM,80.63333333,1,36.73333333,0,Urban,12929,DAVIDSON,I-65S,I-65,Southbound,Before,MILE MARKER 97.4          ,97.4,36.333511,-86.709821,Level 2,Level 2,Level 2,54.3,0.0,Clear,nashville tennessee,2021-03-27,64.0,51.7,58.6,64.0,51.7,58.6,54.9,87.78,2.12,79.17,0.0,0.0,36.0,12.1,133.9,1015.6,79.9,7.7,2021-03-27T06:40:02,2021-03-27T19:05:13,0.49,Rain,Partly cloudy throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.70982100000001 36.333511)
12774,3,17261,Interstate Shooting,"DAVIDSON on Interstate 65 Southbound, Before MILE MARKER 86",2021-04-05,8:33:31 PM,53.55,1,22.31666667,0.05,Urban,14072,DAVIDSON,I-65S,I-65,Southbound,Before,MILE MARKER 86          ,86.0,36.20802415,-86.7761853,Level 2,Level 1,Level 1,68.5,0.0,Clear,nashville tennessee,2021-04-05,78.2,46.5,62.7,78.2,46.5,62.7,39.2,45.93,0.01,8.33,0.0,0.0,18.8,12.3,153.3,1019.5,13.9,9.9,2021-04-05T06:27:07,2021-04-05T19:12:50,0.81,Rain,Clear conditions throughout the day with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.77618529999999 36.20802415)
15948,3,21342,Interstate Shooting,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 57",2021-05-08,9:27:10 PM,3,0,0,0,Urban,17524,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 57          ,57.0,36.03617161,-86.644812,Level 1,Level 1,Level 1,60.2,0.0,Clear,nashville tennessee,2021-05-08,66.7,55.3,60.2,66.7,55.3,60.2,44.5,56.5,0.0,0.0,0.0,0.0,16.1,8.8,191.2,1017.8,73.8,9.9,2021-05-08T05:46:48,2021-05-08T19:40:56,0.96,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.644812 36.03617161)
16024,3,21441,Interstate Shooting,"DAVIDSON on Interstate 24 Westbound, Beyond MILE MARKER 55.8",2021-05-10,8:29:56 AM,240,1,18,0,Urban,17612,DAVIDSON,I-24W,I-24,Westbound,Beyond,MILE MARKER 55.8          ,55.8,36.084859,-86.69931,Level 2,Level 1,Level 1,48.6,0.0,Clear,nashville tennessee,2021-05-10,58.9,48.6,53.0,58.9,44.8,52.4,46.3,78.22,0.02,4.17,0.0,0.0,,10.3,137.6,1018.3,89.6,9.7,2021-05-10T05:44:58,2021-05-10T19:42:36,1.0,Rain,Partly cloudy throughout the day with early morning rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.69931 36.084859)
16027,3,21446,Interstate Shooting,"DAVIDSON on Interstate 24 Westbound, Before MILE MARKER 54.2",2021-05-10,9:02:15 AM,196,2,49,1,Urban,17617,DAVIDSON,I-24W,I-24,Westbound,Before,MILE MARKER 54.2          ,54.2,36.06276501,-86.68261039,Level 3,Level 2,Level 2,49.9,0.0,Clear,nashville tennessee,2021-05-10,58.9,48.6,53.0,58.9,44.8,52.4,46.3,78.22,0.02,4.17,0.0,0.0,,10.3,137.6,1018.3,89.6,9.7,2021-05-10T05:44:58,2021-05-10T19:42:36,1.0,Rain,Partly cloudy throughout the day with early morning rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.68261038999999 36.06276501)
27375,3,36561,Interstate Shooting,"DAVIDSON on Interstate 65 Northbound, At EXIT 90B: BRILEY PKWY / SR-155",2021-09-02,6:52:02 PM,42.88333333,0,39.6,0.016666667,Urban,30327,DAVIDSON,I-65N,I-65,Northbound,At,EXIT 90B: BRILEY PKWY / SR-155       ,90.0,36.25294824,-86.73945704,Level 1,Level 2,Level 1,80.9,0.0,Clear,nashville tennessee,2021-09-02,83.7,64.0,73.6,83.6,64.0,73.6,59.0,62.57,0.0,0.0,0.0,0.0,20.7,11.4,109.3,1015.4,12.2,9.9,2021-09-02T06:19:41,2021-09-02T19:13:05,0.9,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.73945704 36.25294824)
