,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations
240,3,1002,MultiVehicle Crash,"WILLIAMSON on Interstate 65 Southbound, Beyond MILE MARKER 58",2020-11-15,2:56:20 AM,29.26666667,0,0,0,Urban,209,WILLIAMSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 58          ,58.0,35.80975183,-86.8472098,Level 1,Level 1,Level 1,67.8,0.0,Clear,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
244,3,1010,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, Beyond MILE MARKER 215",2020-11-15,6:46:25 AM,54,1,10,2,Urban,214,DAVIDSON,I-40W,I-40,Westbound,Beyond,MILE MARKER 215          ,215.0,36.1443384,-86.69489985,Level 2,Level 1,Level 1,65.7,0.01,Rain,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
246,3,1012,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 211.6",2020-11-15,6:54:25 AM,54,2,52,-17,Urban,216,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 211.6          ,211.6,36.15117,-87.750837,Level 3,Level 2,Level 2,65.7,0.01,Rain,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
247,3,1013,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Beyond MILE MARKER 56",2020-11-15,6:58:18 AM,16,1,14,2,Urban,217,DAVIDSON,I-24E,I-24,Eastbound,Beyond,MILE MARKER 56          ,56.0,36.0453499,-86.65902304,Level 2,Level 1,Level 1,65.7,0.01,Rain,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
248,3,1014,MultiVehicle Crash,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 48.8",2020-11-15,7:02:54 AM,87,2,52,-18,Urban,218,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 48.8          ,48.8,36.12854411,-86.72761859,Level 3,Level 2,Level 2,62.9,0.15,Rain,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
249,3,1015,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 212",2020-11-15,7:10:38 AM,83,3,81,-8,Urban,219,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 212          ,212.0,36.1473762,-86.74434362,Level 3,Level 2,Level 2,62.9,0.15,Rain,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
250,3,1016,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Before MILE MARKER 211.2",2020-11-15,7:42:31 AM,67,2,30,0,Urban,220,DAVIDSON,I-40E,I-40,Eastbound,Before,MILE MARKER 211.2          ,211.2,36.153941,-86.757846,Level 3,Level 2,Level 2,62.9,0.15,Rain,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
251,3,1017,MultiVehicle Crash,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 86.4",2020-11-15,8:19:38 AM,178.4833333,1,38.58333333,1.6,Urban,221,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 86.4          ,86.4,36.21339639,-86.77547613,Level 2,Level 2,Level 2,59.7,0.03,Rain,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
254,3,1020,MultiVehicle Crash,"DAVIDSON on Interstate 40 Eastbound, Beyond MILE MARKER 217",2020-11-15,9:24:40 AM,65,4,44,-3,Urban,224,DAVIDSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 217          ,217.0,36.140931,-86.660064,Level 3,Level 2,Level 2,61.4,0.0,Clear,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
257,3,1027,MultiVehicle Crash,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 205.8",2020-11-15,10:22:44 AM,52,0,0,4,Urban,227,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 205.8          ,205.8,36.15668823,-86.82482535,Level 1,Level 1,Level 1,61.6,0.0,Clear,nashville tennessee,2020-11-15,67.8,45.5,59.6,67.8,43.8,59.5,37.5,46.44,0.23,16.67,0.0,0.0,45.5,28.2,251.7,1016.0,43.6,9.7,2020-11-15T06:24:32,2020-11-15T16:38:44,0.0,Rain,Clearing in the afternoon with rain clearing later.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
