,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations
4843,3,7006,Disabled Vehicle,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 53.8",2021-01-11,12:32:28 AM,"2,542",0,0,418,Urban,5267,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 53.8          ,53.8,36.06725492,-86.68727151,Level 1,Level 1,Level 1,30.5,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
4844,3,7007,Disabled Vehicle,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 86",2021-01-11,12:36:08 AM,39.36666667,0,0,8.8,Urban,5268,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 86          ,86.0,36.20802415,-86.7761853,Level 1,Level 1,Level 1,30.5,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
4845,3,7008,Disabled Vehicle,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 77.8",2021-01-11,5:52:31 AM,466.3833333,0,1.216666667,17.5,Urban,5269,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 77.8          ,77.8,36.081254,-84.764068,Level 1,Level 1,Level 1,30.5,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
4846,3,7010,Disabled Vehicle,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 85",2021-01-11,6:59:19 AM,10.91666667,0,0,0.016666667,Urban,5270,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 85          ,85.0,36.1923352,-86.77714806,Level 1,Level 1,Level 1,29.9,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
4847,3,7011,Disabled Vehicle,"DAVIDSON on Interstate 40 Westbound, Before MILE MARKER 210.4",2021-01-11,7:12:49 AM,15,2,5,0,Urban,5271,DAVIDSON,I-40W,I-40,Westbound,Before,MILE MARKER 210.4          ,210.4,36.15125172,-86.76922815,Level 3,Level 1,Level 1,30.5,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
4848,3,7012,Disabled Vehicle,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 87.2",2021-01-11,7:14:49 AM,384.5833333,0,0,0.05,Urban,5272,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 87.2          ,87.2,36.205236,-86.776526,Level 1,Level 1,Level 1,30.5,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
4849,3,7013,Disabled Vehicle,"DAVIDSON on Interstate 65 Northbound, Beyond MILE MARKER 92.4",2021-01-11,7:23:01 AM,1.35,0,0,0.033333333,Urban,5273,DAVIDSON,I-65N,I-65,Northbound,Beyond,MILE MARKER 92.4          ,92.4,36.28443335,-86.72932236,Level 1,Level 1,Level 1,30.5,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
4850,3,7014,Disabled Vehicle,"DAVIDSON on Interstate 65 Southbound, Before MILE MARKER 76",2021-01-11,7:25:45 AM,150.5833333,0,0,0.016666667,Urban,5274,DAVIDSON,I-65S,I-65,Southbound,Before,MILE MARKER 76          ,76.0,36.05938882,-86.77284698,Level 1,Level 1,Level 1,30.5,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
4851,3,7015,Single Vehicle Crash,"WILLIAMSON on Interstate 65 Southbound, Beyond MILE MARKER 61",2021-01-11,7:32:16 AM,58.63333333,1,12.11666667,0,Urban,5275,WILLIAMSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 61          ,61.0,35.84977296,-86.83269663,Level 2,Level 1,Level 1,30.5,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
4852,3,7016,Disabled Vehicle,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 54",2021-01-11,7:36:26 AM,361,0,0,0,Urban,5276,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 54          ,54.0,36.06493445,-86.68486152,Level 1,Level 1,Level 1,30.5,0.0,Clear,nashville tennessee,2021-01-11,33.9,29.9,31.3,28.8,22.5,25.9,24.0,74.04,0.01,4.17,0.0,0.0,,7.9,195.3,1027.6,94.7,7.5,2021-01-11T06:58:19,2021-01-11T16:52:24,0.99,Snow,Cloudy skies throughout the day with late afternoon rain.,Snow,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827"
