,Region,Incident ID,Incident Type,Full Location ,Start Date,Start Time,Duration ICT,Lanes Blocked,Blockage Duration RCT,Response Time,"Rural/
Urban",Key ,County,Interstate,Route,Direction,Unnamed: 16,Description,Inc MM,Latitude,Longitude,Severity Lanes,Severity Duration,Severity,Temp,Prec,Condition,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,sunrise,sunset,moonphase,conditions,description,icon,stations,geometry
239,3,1001,Vehicle Fire,"RUTHERFORD on Interstate 24 Eastbound, Beyond MILE MARKER 67.2",2020-11-14,10:12:44 PM,157,3,152,2,Urban,208,RUTHERFORD,I-24E,I-24,Eastbound,Beyond,MILE MARKER 67.2          ,67.2,35.96619865,-86.5657174,Level 3,Level 3,Level 3,65.2,0.0,Clear,nashville tennessee,2020-11-14,72.5,39.4,56.4,72.5,39.4,56.3,40.4,59.0,0.0,0.0,0.0,0.0,24.2,14.2,110.5,1018.2,68.9,9.9,2020-11-14T06:23:31,2020-11-14T16:39:24,1.0,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.5657174 35.96619865)
439,3,1276,Vehicle Fire,"DAVIDSON on Interstate 65 Northbound, Before MILE MARKER 91.8",2020-11-17,4:06:42 PM,581.05,3,47.31666667,0.016666667,Urban,421,DAVIDSON,I-65N,I-65,Northbound,Before,MILE MARKER 91.8          ,91.8,36.258679,-86.738343,Level 3,Level 2,Level 2,52.5,0.0,Clear,nashville tennessee,2020-11-17,55.1,38.2,48.4,55.1,36.1,46.1,24.2,39.18,0.0,0.0,0.0,0.0,23.6,14.9,254.5,1031.1,2.2,9.9,2020-11-17T06:26:34,2020-11-17T16:37:30,0.04,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.738343 36.258679)
518,3,1401,Vehicle Fire,"CHEATHAM on Interstate 24 Westbound, Before MILE MARKER 25.6",2020-11-18,3:03:54 PM,1,0,0,0,Urban,508,CHEATHAM,I-24W,I-24,Westbound,Before,MILE MARKER 25.6          ,25.6,36.39441388,-87.01039318,Level 1,Level 1,Level 1,58.2,0.0,Clear,nashville tennessee,2020-11-18,58.2,31.8,44.0,58.2,28.8,43.1,23.0,47.09,0.0,0.0,0.0,0.0,13.9,8.3,91.6,1034.6,4.8,9.9,2020-11-18T06:27:35,2020-11-18T16:36:56,0.07,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.01039317999999 36.39441388)
662,3,1590,Vehicle Fire,"CHEATHAM on Interstate 24 Eastbound, Beyond MILE MARKER 30.8",2020-11-20,5:00:24 AM,164,1,162,-164,Urban,661,CHEATHAM,I-24E,I-24,Eastbound,Beyond,MILE MARKER 30.8          ,30.8,36.35040002,-86.93487724,Level 2,Level 3,Level 3,47.9,0.0,Clear,nashville tennessee,2020-11-20,70.5,46.6,57.3,70.5,45.5,56.9,40.3,54.29,0.0,0.0,0.0,0.0,21.9,10.4,152.5,1030.5,32.1,9.8,2020-11-20T06:29:35,2020-11-20T16:35:54,0.17,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.93487724000001 36.35040002)
1063,3,2152,Vehicle Fire,"DAVIDSON on Interstate 65 Southbound, Beyond MILE MARKER 96",2020-11-24,9:48:39 PM,49.96666667,2,49.2,0.516666667,Urban,1102,DAVIDSON,I-65S,I-65,Southbound,Beyond,MILE MARKER 96          ,96.0,36.309997,-86.7029,Level 3,Level 2,Level 2,56.2,0.0,Clear,nashville tennessee,2020-11-24,63.5,33.7,49.6,63.5,33.7,49.6,36.4,63.9,0.0,0.0,0.0,0.0,22.7,15.3,118.8,1022.4,50.5,9.4,2020-11-24T06:33:34,2020-11-24T16:34:11,0.36,Clear,Partly cloudy throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.7029 36.309997)
1138,3,2235,Vehicle Fire,"DAVIDSON on Interstate 24 Eastbound, Before MILE MARKER 34",2020-11-25,2:21:00 PM,107,2,27,0,Urban,1183,DAVIDSON,I-24E,I-24,Eastbound,Before,MILE MARKER 34          ,34.0,36.32626759,-86.88555816,Level 3,Level 1,Level 1,65.9,0.0,Clear,nashville tennessee,2020-11-25,66.5,53.0,59.9,66.5,53.0,59.9,49.4,68.61,0.04,16.67,0.0,0.0,38.4,26.1,198.2,1014.3,78.9,9.7,2020-11-25T06:34:32,2020-11-25T16:33:50,0.4,Rain,Partly cloudy throughout the day with morning rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.88555816 36.32626759)
1417,3,2575,Vehicle Fire,"RUTHERFORD on Interstate 24 Westbound, Beyond MILE MARKER 70",2020-11-29,4:31:30 PM,105,3,78,0,Urban,1493,RUTHERFORD,I-24W,I-24,Westbound,Beyond,MILE MARKER 70          ,70.0,35.93591541,-86.53316976,Level 3,Level 2,Level 2,49.5,0.0,Clear,nashville tennessee,2020-11-29,50.7,34.4,42.3,50.7,34.4,41.1,36.3,79.42,0.28,29.17,0.0,0.0,33.5,9.7,133.5,1016.3,71.7,8.9,2020-11-29T06:38:21,2020-11-29T16:32:46,0.5,Rain,Partly cloudy throughout the day with rain.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.53316976000001 35.93591541)
1786,3,3073,Vehicle Fire,"BEDFORD on Interstate 24 Eastbound, Before MILE MARKER 96.4",2020-12-04,12:37:55 PM,4,1,4,0,Rural,1893,BEDFORD,I-24E,I-24,Eastbound,Before,MILE MARKER 96.4          ,96.4,35.63419579,-86.24689947,Level 2,Level 1,Level 1,45.6,0.0,Clear,nashville tennessee,2020-12-04,46.1,38.6,43.7,46.0,35.9,40.7,40.6,88.73,0.48,45.83,0.0,0.0,20.5,11.3,223.5,1018.6,86.5,7.0,2020-12-04T06:42:52,2020-12-04T16:32:12,0.58,Rain,Partly cloudy throughout the day with a chance of rain throughout the day.,Rain,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.24689947 35.63419579)
1851,3,3177,Vehicle Fire,"DAVIDSON on Interstate 40 Eastbound, Beyond MILE MARKER 193",2020-12-05,12:54:58 PM,48,1,6,16,Urban,1965,DAVIDSON,I-40E,I-40,Eastbound,Beyond,MILE MARKER 193          ,193.0,36.07718934,-87.01215662,Level 2,Level 1,Level 1,51.3,0.0,Clear,nashville tennessee,2020-12-05,55.0,31.6,42.0,55.0,31.6,41.5,34.0,75.44,0.0,0.0,0.0,0.0,,8.9,203.2,1020.4,2.5,8.6,2020-12-05T06:43:44,2020-12-05T16:32:11,0.62,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-87.01215662 36.07718934)
1898,3,3239,Vehicle Fire,"DAVIDSON on Interstate 65 Southbound, Before MILE MARKER 80",2020-12-05,9:46:18 PM,55.1,0,48.96666667,0.016666667,Urban,2022,DAVIDSON,I-65S,I-65,Southbound,Before,MILE MARKER 80          ,80.0,36.11294073,-86.77233065,Level 1,Level 2,Level 1,39.8,0.0,Clear,nashville tennessee,2020-12-05,55.0,31.6,42.0,55.0,31.6,41.5,34.0,75.44,0.0,0.0,0.0,0.0,,8.9,203.2,1020.4,2.5,8.6,2020-12-05T06:43:44,2020-12-05T16:32:11,0.62,Clear,Clear conditions throughout the day.,Clear,"72327013897,KJWN,KBNA,KMQY,KM91,72327313827",POINT (-86.77233065 36.11294073)
